region;public;school;city;polish_candidates;polish_average;math_candidates;math_average;english_candidates;english_average
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 20 IM.KS.PRYMASA STEFANA KAR.WYSZYŃSKIEGO Z ODDZIAŁAMI INTEGRACYJNYMI W BYDGOSZCZY;Bydgoszcz;24;67,70833333;24;52,16666667;24;69
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 22 IM. MJR. HENRYKA DOBRZAŃSKIEGO-HUBALA W BYDGOSZCZY;Bydgoszcz;13;33,53846154;13;25,84615385;14;37
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 25 IM. SYNÓW PUŁKÓW Z ODDZIAŁAMI INTEGRACYJNYMI W BYDGOSZCZY;Bydgoszcz;37;57,89189189;37;45,2972973;37;63,64864865
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 26 IM.ROMUALDA TRAUGUTTA W BYDGOSZCZY;Bydgoszcz;11;58,90909091;11;32,72727273;12;64,25
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 28 IM POLSKICH NOBLISTÓW W BYDGOSZCZY;Bydgoszcz;14;46,42857143;14;33,71428571;14;48,92857143
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 43 IM. ADM. KAZIMIERZA PORĘBSKIEGO W BYDGOSZCZY;Bydgoszcz;12;61,41666667;12;48,66666667;12;63,25
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 31 IM. JÓZEFA PIŁSUDSKIEGO Z ODDZIAŁAMI SPORTOWYMI I MISTRZOSTWA SPORTOWEGO W BYDGOSZCZY;Bydgoszcz;31;59,16129032;31;49,93548387;33;69,06060606
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 48 Z ODDZIAŁAMI SPECJALNYMI I SPORTOWYMI W BYDGOSZCZY;Bydgoszcz;28;48,57142857;28;35,57142857;29;54,65517241
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 34 W BYDGOSZCZY IM. BOHATERÓW 3.PUŁKU LOTNICTWA SZTURMOWEGO W BYDGOSZCZY;Bydgoszcz;27;68,7037037;27;78,66666667;28;82,75
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 35 IM.JAROSŁAWA DĄBROWSKIEGO W BYDGOSZCZY;Bydgoszcz;16;65,5625;16;61,5;16;88,625
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 36 IM.WINCENTEGO WIERNIKOWSKIEGO W BYDGOSZCZY;Bydgoszcz;20;63,5;20;49,6;24;71,91666667
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 37 IM. HENRYKA SIENKIEWICZA Z ODDZIAŁAMI SPORTOWYMI W BYDGOSZCZY;Bydgoszcz;25;46,96;25;26,72;38;52,10526316
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 38 IM. ZDOBYWCÓW WAŁU POMORSKIEGO W BYDGOSZCZY;Bydgoszcz;37;57,94594595;37;50,05405405;42;71,80952381
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 40 W BYDGOSZCZY;Bydgoszcz;14;65,57142857;14;53,14285714;18;63,66666667
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 41 IM. ROMUALDA TRAUGUTTA Z ODDZIAŁAMI SPORTOWYMI W BYDGOSZCZY;Bydgoszcz;27;45,85185185;27;33,03703704;28;53,5
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 45 IM. KANAŁU BYDGOSKIEGO Z ODDZIAŁAMI SPORTOWYMI W BYDGOSZCZY;Bydgoszcz;22;60,36363636;22;35,81818182;21;64
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 46 IM. UNII EUROPEJSKIEJ Z ODDZIAŁAMI DWUJĘZYCZNYMI W BYDGOSZCZY;Bydgoszcz;41;70,43902439;41;61,65853659;41;72
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 47 IM.BRONISŁAWA MALINOWSKIEGO Z ODDZIAŁAMI MISTRZOSTAWA SPORTOWEGO W BYDGOSZCZY;Bydgoszcz;17;64,11764706;17;43,52941176;23;65,26086957
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 56 IM. ARKADEGO FIEDLERA Z ODDZIAŁAMI INTEGRACYJNYMI W BYDGOSZCZY;Bydgoszcz;26;55,69230769;26;39,38461538;26;64,84615385
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 58 IM. IRENY SENDLEROWEJ W BYDGOSZCZY;Bydgoszcz;35;47,77142857;35;36;36;52,02777778
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 61 IM. BOHATERÓW WESTERPLATTE W BYDGOSZCZY;Bydgoszcz;17;71,94117647;17;47,76470588;20;62,35
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 62 IM. ŻOŁNIERZY 1 DYWIZJI PIECHOTY IM. TADEUSZA KOŚCIUSZKI W BYDGOSZCZY;Bydgoszcz;17;62,05882353;17;44,23529412;17;62,11764706
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 55 SPECJALNA DLA UCZNIÓW NIEDOSTOSOWANYCH SPOŁECZNIE ORAZ Z ZABURZENIAMI ZACHOWANIA W BYDGOSZCZY;Bydgoszcz;6;23;6;19,33333333;6;24,66666667
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 4 IM. MJRA HENRYKA SUCHARSKIEGO W BYDGOSZCZY;Bydgoszcz;27;53,44444444;28;43,14285714;28;59,07142857
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 27 IM. ZDZISŁAWA KRZYSZKOWIAKA Z ODDZIAŁAMI SPORTOWYMI W BYDGOSZCZY;Bydgoszcz;14;67,21428571;14;49,42857143;16;84,0625
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 14 IM. GEN. WŁADYSŁAWA SIKORSKIEGO W BYDGOSZCZY;Bydgoszcz;19;63,31578947;19;52,84210526;19;73,73684211
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 32 IM. FLORIANA KAJI Z ODDZIAŁAMI SPORTOWYMI I DWUJĘZYCZNYMI W BYDGOSZCZY;Bydgoszcz;35;67,62857143;35;64,11428571;37;80,64864865
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 60 IM. HUBERTA WAGNERA Z ODDZIAŁAMI SPORTOWYMI I MISTRZOSTWA SPORTOWEGO W BYDGOSZCZY;Bydgoszcz;50;56,4;50;51,76;52;69,63461538
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 64 IM. 650-LECIA BYDGOSZCZY Z ODDZIAŁAMI SPORTOWYMI W BYDGOSZCZY;Bydgoszcz;61;64,08196721;61;57,18032787;61;71,80327869
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 63 Z ODDZIAŁAMI SPORTOWYMI W BYDGOSZCZY;Bydgoszcz;60;59,33333333;60;55,4;60;66,83333333
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 65 IM. CZESŁAWA TAŃSKIEGO Z ODDZIAŁAMI INTEGRACYJNYMI I SPORTOWYMI W BYDGOSZCZY;Bydgoszcz;58;59,43103448;58;57,72413793;60;74,15
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 67 IM. ANDRZEJA SZWALBEGO Z ODDZIAŁAMI SPORTOWYMI W BYDGOSZCZY;Bydgoszcz;33;55,45454545;33;52,24242424;32;67,15625
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 66 IM. MISJI POKOJOWYCH ONZ Z ODDZIAŁAMI SPORTOWYMI W BYDGOSZCZY;Bydgoszcz;31;62,74193548;31;52,25806452;32;72,375
Kujawsko-Pomorskie;Nie;NIEPUBLICZNA SZKOŁA PODSTAWOWA NR 1 W BYDGOSZCZY;Bydgoszcz;13;81;13;85,23076923;13;91,61538462
Kujawsko-Pomorskie;Nie;SZKOŁA PODSTAWOWA TOWARZYSTWA SALEZJAŃSKIEGO IM. BŁ. LAURY VICUNA W BYDGOSZCZY;Bydgoszcz;36;82,63888889;36;88,33333333;38;92
Kujawsko-Pomorskie;Nie;KATOLICKA SZKOŁA PODSTAWOWA IM. ŚW. WOJCIECHA;Bydgoszcz;29;80,03448276;29;80,55172414;27;91,88888889
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 57 IM. TOWARZYSTWA MIŁOŚNIKÓW MIASTA BYDGOSZCZY;Bydgoszcz;12;52,41666667;12;34,66666667;15;61,93333333
Kujawsko-Pomorskie;Tak;PAŃSTWOWA OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA I ST. W BYDGOSZCZY;Bydgoszcz;19;86,42105263;19;81,05263158;20;87,55
Kujawsko-Pomorskie;Nie;NIEPUBLICZNA SZKOŁA PODSTAWOWA PERPETUUM MOBILE FUNDACJI KREATYWNEJ EDUKACJI;Bydgoszcz;7;74;7;64;7;80,57142857
Kujawsko-Pomorskie;Nie;NIEPUBLICZNA SZKOŁA PODSTAWOWA INTERNATIONAL SCHOOL OF BYDGOSZCZ;Bydgoszcz;13;57,84615385;13;41,84615385;16;72
Kujawsko-Pomorskie;Nie;MIĘDZYNARODOWA SZKOŁA PODSTAWOWA SOKRATES W BYDGOSZCZY;Bydgoszcz;31;67,83870968;31;54,4516129;35;91,8
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 15 IM. TERESY CIEPŁY Z ODDZIAŁAMI MISTRZOSTWA SPORTOWEGO W BYDGOSZCZY;Bydgoszcz;62;62,46774194;62;58,12903226;62;79,20967742
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 9 IM. WŁAYSŁAWA JAGIEŁŁY W BYDGOSZCZY;Bydgoszcz;30;59,93333333;31;51,87096774;31;69,12903226
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA DLA DOROSŁYCH W BYDGOSZCZY;Bydgoszcz;2;;2;;2;
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA SPECJALNA NR 68 DLA DZIECI I MŁODZIEŻY SŁABO SŁYSZĄCEJ I NIESŁYSZĄCEJ W BYDGOSZCZY;Bydgoszcz;1;;1;;1;
